Time	 LatitudeDegrees 	 LongitudeDegrees 	 AltitudeMeters 	 DistanceMeters 	HeartRateBpm	Cadence	 Speed 
7:37:44 PM	 49.2655510269105 	 (123.1773502193390)	 44.20 	 4.710 	75	68	 4.718 
7:37:47 PM	 49.2655548825860 	 (123.1775339506560)	 44.20 	 19.590 	78	71	 5.064 
7:37:49 PM	 49.2655544634908 	 (123.1776478607200)	 44.20 	 28.470 	79	0	 4.168 
7:37:51 PM	 49.2655656114220 	 (123.1777283269910)	 44.20 	 34.750 	77	13	 2.778 
7:37:53 PM	 49.2656084429472 	 (123.1777820549900)	 44.20 	 41.950 	78	61	 4.079 
7:37:54 PM	 49.2656437307596 	 (123.1777813006190)	 44.20 	 46.360 	80	64	 4.426 
7:37:57 PM	 49.2657739855349 	 (123.1777756009250)	 44.20 	 61.040 	83	72	 5.028 
7:37:59 PM	 49.2658547032624 	 (123.1777703203260)	 44.20 	 71.060 	85	73	 4.925 
7:38:03 PM	 49.2660007160156 	 (123.1777590885750)	 44.20 	 87.130 	87	78	 4.677 
7:38:04 PM	 49.2660495825111 	 (123.1777605134990)	 44.20 	 92.200 	88	83	 5.064 
7:38:07 PM	 49.2662012949585 	 (123.1777588371180)	 44.20 	 108.610 	91	91	 5.637 
7:38:09 PM	 49.2662996146827 	 (123.1777532212430)	 44.20 	 120.040 	94	94	 5.743 
7:38:10 PM	 49.2663477268069 	 (123.1777552329000)	 44.20 	 125.940 	94	95	 5.901 
7:38:12 PM	 49.2664552666246 	 (123.1777603458610)	 44.20 	 137.880 	97	97	 6.033 
7:38:15 PM	 49.2666325438767 	 (123.1777486111960)	 44.20 	 156.240 	100	88	 6.173 
7:38:17 PM	 49.2667431011795 	 (123.1777227111160)	 44.20 	 168.470 	101	88	 6.051 
7:38:20 PM	 49.2669070512056 	 (123.1777147483080)	 44.20 	 187.550 	103	93	 6.531 
7:38:22 PM	 49.2670300975441 	 (123.1777149159460)	 44.20 	 200.660 	104	94	 6.571 
7:38:27 PM	 49.2673398926854 	 (123.1776874233030)	 44.20 	 233.580 	107	94	 6.591 
7:38:30 PM	 49.2675114702433 	 (123.1776872556650)	 44.20 	 253.320 	109	94	 6.571 
7:38:34 PM	 49.2677412182092 	 (123.1776843219990)	 44.20 	 279.580 	110	95	 6.673 
7:38:36 PM	 49.2678589839488 	 (123.1776897702360)	 44.20 	 293.110 	109	98	 6.801 
7:38:42 PM	 49.2682003788650 	 (123.1776968110350)	 44.20 	 333.470 	109	0	 6.472 
7:38:46 PM	 49.2683825176209 	 (123.1776855792850)	 44.20 	 358.230 	106	20	 5.967 
7:38:47 PM	 49.2684292886406 	 (123.1777005828910)	 44.20 	 363.980 	106	84	 5.743 
7:38:50 PM	 49.2685215733945 	 (123.1779118906700)	 44.20 	 382.730 	105	95	 6.492 
7:38:53 PM	 49.2685533408075 	 (123.1781923491500)	 44.20 	 402.800 	105	97	 6.747 
7:38:54 PM	 49.2685606330633 	 (123.1782877352080)	 44.20 	 409.570 	105	98	 6.768 
7:38:58 PM	 49.2685835994780 	 (123.1786844506850)	 44.20 	 437.450 	109	102	 7.058 
7:39:01 PM	 49.2686132714152 	 (123.1789829302570)	 44.20 	 458.760 	112	102	 7.105 
7:39:06 PM	 49.2686110083013 	 (123.1794798932960)	 44.20 	 494.700 	115	104	 7.285 
7:39:10 PM	 49.2686176300048 	 (123.1798722501840)	 44.20 	 523.920 	116	104	 7.285 
7:39:12 PM	 49.2686179652810 	 (123.1800761818880)	 44.20 	 538.720 	117	95	 7.464 
7:39:18 PM	 49.2686165403574 	 (123.1807233486320)	 44.20 	 584.960 	119	99	 7.800 
7:39:25 PM	 49.2686209827661 	 (123.1814969982950)	 44.20 	 640.780 	119	102	 8.003 
7:39:30 PM	 49.2686220724135 	 (123.1820734217760)	 43.60 	 681.530 	118	100	 8.251 
