Time	 Latitude 	 Longitude 	 Alt.(M) 	 Dist.(M) 	HR (Bpm)	Cadence	 Speed
10:34:56 PM	 49.265557 	 (123.177073)	 3.60 	 3.71 	78	69	 3.71
10:34:58 PM	 49.265554 	 (123.177161)	 3.60 	 11.96 	81	78	 4.24
10:35:00 PM	 49.265566 	 (123.177269)	 3.60 	 20.98 	83	85	 4.56
10:35:01 PM	 49.265570 	 (123.177321)	 3.60 	 25.78 	85	87	 4.79
10:35:05 PM	 49.265572 	 (123.177564)	 3.60 	 43.93 	86	0	 3.99
10:35:08 PM	 49.265625 	 (123.177709)	 3.60 	 53.61 	85	82	 4.39
10:35:09 PM	 49.265670 	 (123.177726)	 3.60 	 58.36 	86	89	 4.74
10:35:12 PM	 49.265807 	 (123.177736)	 3.60 	 74.08 	90	95	 5.34
10:35:15 PM	 49.265930 	 (123.177738)	 3.60 	 88.62 	92	16	 4.21
10:35:18 PM	 49.266058 	 (123.177748)	 3.60 	 101.31 	95	95	 5.24
10:35:20 PM	 49.266161 	 (123.177745)	 3.60 	 112.61 	97	104	 5.82
10:35:23 PM	 49.266324 	 (123.177752)	 3.60 	 130.77 	100	101	 6.18
10:35:25 PM	 49.266432 	 (123.177752)	 3.60 	 143.52 	102	96	 6.42
10:35:28 PM	 49.266609 	 (123.177757)	 3.60 	 163.22 	105	96	 6.62
10:35:30 PM	 49.266734 	 (123.177751)	 3.60 	 176.80 	107	97	 6.85
10:35:32 PM	 49.266855 	 (123.177754)	 3.60 	 190.44 	110	100	 6.88
10:35:35 PM	 49.267049 	 (123.177780)	 3.60 	 211.13 	112	99	 6.86
10:35:37 PM	 49.267176 	 (123.177768)	 3.60 	 224.94 	115	101	 6.93
10:35:40 PM	 49.267353 	 (123.177743)	 3.60 	 246.16 	118	90	 7.09
10:35:43 PM	 49.267549 	 (123.177731)	 3.60 	 267.41 	121	88	 7.01
10:35:46 PM	 49.267729 	 (123.177711)	 3.60 	 287.82 	123	88	 6.73
10:35:51 PM	 49.268030 	 (123.177682)	 3.60 	 322.73 	125	90	 7.01
10:35:53 PM	 49.268149 	 (123.177678)	 3.60 	 336.80 	125	84	 7.01
10:35:57 PM	 49.268316 	 (123.177654)	 3.60 	 360.89 	124	0	 4.64
10:35:59 PM	 49.268349 	 (123.177633)	 3.60 	 364.76 	122	0	 -
10:36:07 PM	 49.268388 	 (123.177646)	 3.60 	 364.76 	118	43	 2.23
10:36:08 PM	 49.268429 	 (123.177669)	 3.60 	 366.98 	119	58	 2.23
10:36:10 PM	 49.268521 	 (123.177809)	 3.60 	 378.20 	120	93	 6.29
10:36:13 PM	 49.268570 	 (123.178111)	 3.60 	 398.50 	123	99	 6.88
10:36:14 PM	 49.268572 	 (123.178203)	 3.60 	 405.29 	124	99	 6.79
10:36:18 PM	 49.268579 	 (123.178573)	 3.60 	 432.92 	127	100	 6.93
10:36:19 PM	 49.268586 	 (123.178669)	 3.60 	 439.85 	128	99	 6.93
10:36:26 PM	 49.268589 	 (123.179346)	 3.60 	 488.54 	130	70	 7.09
10:36:32 PM	 49.268587 	 (123.179966)	 3.60 	 531.38 	131	89	 7.30
10:36:33 PM	 49.268589 	 (123.180070)	 3.60 	 538.78 	130	90	 7.39
10:36:40 PM	 49.268608 	 (123.180812)	 3.60 	 591.21 	129	91	 7.46
10:36:48 PM	 49.268620 	 (123.181633)	 3.60 	 652.58 	129	94	 7.81
10:36:50 PM	 49.268628 	 (123.181835)	 3.40 	 667.95 	128	93	 7.56
10:36:51 PM	 49.268628 	 (123.181944)	 3.00 	 675.70 	128	94	 7.75
10:36:52 PM	 49.268631 	 (123.182054)	 2.40 	 683.53 	128	95	 7.84
10:36:53 PM	 49.268632 	 (123.182168)	 2.00 	 691.40 	128	96	 7.87
10:36:54 PM	 49.268634 	 (123.182272)	 1.60 	 699.32 	127	96	 7.91
10:37:00 PM	 49.268643 	 (123.182964)	 1.20 	 748.30 	128	91	 8.30
10:37:01 PM	 49.268642 	 (123.183075)	 0.80 	 756.54 	128	59	 8.24
10:37:02 PM	 49.268643 	 (123.183174)	 0.40 	 764.36 	127	41	 7.82
10:37:03 PM	 49.268641 	 (123.183263)	 -   	 771.34 	127	56	 6.98
10:37:04 PM	 49.268641 	 (123.183337)	 (0.60)	 777.54 	127	56	 6.20
10:37:07 PM	 49.268636 	 (123.183466)	 (0.60)	 791.15 	124	0	 3.78
10:37:09 PM	 49.268630 	 (123.183489)	 -   	 795.59 	122	0	 1.73
10:37:10 PM	 49.268632 	 (123.183501)	 0.40 	 795.59 	121	0	 -
10:37:29 PM	 49.268637 	 (123.183568)	 1.60 	 795.59 	101	43	 2.40
10:37:30 PM	 49.268647 	 (123.183636)	 1.60 	 799.54 	103	69	 3.95
10:37:32 PM	 49.268655 	 (123.183811)	 1.60 	 811.48 	105	89	 6.23
10:37:33 PM	 49.268652 	 (123.183909)	 1.60 	 818.15 	108	95	 6.66
10:37:34 PM	 49.268653 	 (123.184009)	 1.00 	 825.09 	110	100	 6.95
10:37:35 PM	 49.268654 	 (123.184117)	 0.60 	 832.45 	112	99	 7.36
10:37:36 PM	 49.268651 	 (123.184235)	 -   	 840.13 	114	95	 7.67
10:37:37 PM	 49.268648 	 (123.184348)	 (0.80)	 847.96 	115	96	 7.82
10:37:38 PM	 49.268650 	 (123.184456)	 (1.00)	 856.03 	115	100	 8.08
10:37:40 PM	 49.268662 	 (123.184686)	 (1.40)	 872.78 	115	96	 8.43
10:37:41 PM	 49.268675 	 (123.184806)	 (2.00)	 881.42 	116	96	 8.64
10:37:42 PM	 49.268685 	 (123.184931)	 (2.60)	 890.21 	116	96	 8.78
10:37:43 PM	 49.268685 	 (123.185055)	 (2.80)	 899.03 	115	44	 8.82
10:37:44 PM	 49.268687 	 (123.185176)	 (3.40)	 907.82 	115	98	 8.78
10:37:46 PM	 49.268685 	 (123.185426)	 (3.80)	 926.03 	115	102	 9.16
10:37:47 PM	 49.268684 	 (123.185562)	 (4.20)	 935.39 	116	103	 9.36
10:37:48 PM	 49.268681 	 (123.185703)	 (4.60)	 944.78 	116	103	 9.36
10:37:49 PM	 49.268673 	 (123.185843)	 (5.20)	 954.09 	117	103	 9.34
10:37:50 PM	 49.268669 	 (123.185977)	 (5.60)	 963.51 	117	106	 9.41
10:37:53 PM	 49.268666 	 (123.186404)	 (6.00)	 993.69 	119	101	 10.23
10:37:54 PM	 49.268670 	 (123.186541)	 (6.60)	 1,004.01 	120	101	 10.32
10:37:55 PM	 49.268677 	 (123.186691)	 (6.60)	 1,014.34 	121	101	 10.32
10:37:56 PM	 49.268685 	 (123.186835)	 (7.60)	 1,024.63 	122	100	 10.27
10:37:57 PM	 49.268687 	 (123.186975)	 (8.00)	 1,034.83 	123	100	 10.23
10:38:01 PM	 49.268696 	 (123.187538)	 (8.00)	 1,075.28 	126	99	 10.08
10:38:02 PM	 49.268703 	 (123.187682)	 (8.00)	 1,085.32 	126	98	 10.05
10:38:08 PM	 49.268723 	 (123.188470)	 (8.00)	 1,144.52 	129	93	 9.69
10:38:09 PM	 49.268725 	 (123.188593)	 (8.20)	 1,153.98 	129	91	 9.47
10:38:10 PM	 49.268725 	 (123.188722)	 (8.80)	 1,163.29 	129	90	 9.31
10:38:11 PM	 49.268728 	 (123.188844)	 (9.20)	 1,172.47 	130	105	 9.19
10:38:12 PM	 49.268734 	 (123.188970)	 (9.80)	 1,181.56 	130	106	 9.09
10:38:13 PM	 49.268742 	 (123.189098)	 (10.00)	 1,190.57 	130	100	 9.02
10:38:19 PM	 49.268760 	 (123.189841)	 (10.00)	 1,243.90 	131	96	 8.72
10:38:25 PM	 49.268774 	 (123.190407)	 (10.00)	 1,288.72 	128	0	 5.57
10:38:28 PM	 49.268790 	 (123.190523)	 (10.00)	 1,299.89 	125	0	 2.88
10:38:29 PM	 49.268789 	 (123.190529)	 (10.00)	 1,301.68 	124	0	 1.79
10:38:30 PM	 49.268790 	 (123.190542)	 (9.80)	 1,301.68 	123	0	 -
10:38:43 PM	 49.268800 	 (123.190632)	 (8.00)	 1,301.68 	109	45	 2.64
10:38:44 PM	 49.268799 	 (123.190705)	 (8.00)	 1,305.78 	110	65	 4.09
10:38:46 PM	 49.268791 	 (123.190884)	 (8.00)	 1,317.11 	114	96	 5.99
10:38:48 PM	 49.268787 	 (123.191098)	 (8.00)	 1,331.34 	118	97	 7.00
10:38:50 PM	 49.268785 	 (123.191299)	 (8.00)	 1,345.47 	121	98	 7.09
