Time	Latitude	Longitude	Alt.(M)	Dist.(M)	HR (Bpm)	Cadence	Speed
8:14:48 PM	49.2655056	-123.1773051	0	4.03000021	86	40	4.03000021
8:14:53 PM	49.26550107	-123.1775977	-0.400000006	25.45000076	89	29	4.349999905
8:14:54 PM	49.26550216	-123.1776455	-0.400000006	29.70999908	90	35	4.255000114
8:14:58 PM	49.26554717	-123.1777762	-0.400000006	41.88000107	89	0	2.367000103
8:14:59 PM	49.26557592	-123.1778017	-0.400000006	44.75999832	88	18	2.880000114
8:15:01 PM	49.26565421	-123.1778126	-0.400000006	52.25999832	90	48	4.007999897
8:15:04 PM	49.26579444	-123.1778038	-0.400000006	67.06999969	93	59	4.90899992
8:15:07 PM	49.26591405	-123.1778075	-0.400000006	80.98000336	95	0	4.139999866
8:15:10 PM	49.26604749	-123.1778021	-0.400000006	94.37000275	98	64	5.270999908
8:15:12 PM	49.2661531	-123.177802	-0.400000006	105.5299988	99	69	5.691999912
8:15:17 PM	49.26642392	-123.1777899	-0.400000006	135.3500061	102	74	6.114999771
8:15:19 PM	49.26653582	-123.1777909	-0.400000006	147.6799927	102	75	6.168000221
8:15:23 PM	49.26674603	-123.1777558	-0.400000006	172.4700012	102	84	6.118000031
8:15:25 PM	49.26685022	-123.1777551	-0.400000006	184.6300049	103	87	6.065999985
8:15:29 PM	49.2670684	-123.1777707	-0.400000006	209.7899933	106	87	6.278999805
8:15:32 PM	49.26723227	-123.1777531	-0.400000006	229.0200043	108	89	6.507999897
8:15:34 PM	49.26734752	-123.1777442	-0.400000006	241.9799957	111	89	6.468999863
8:15:37 PM	49.26752572	-123.1777142	-0.400000006	261.3299866	112	89	6.487999916
8:15:38 PM	49.26758112	-123.1776954	-0.400000006	267.7600098	113	89	6.429999828
8:15:40 PM	49.26769889	-123.1776954	-0.400000006	280.4899902	113	89	6.297999859
8:15:43 PM	49.26788656	-123.1777102	-0.400000006	300.3299866	114	92	6.650000095
8:15:49 PM	49.26825972	-123.1777005	-0.400000006	340.3200073	113	66	6.650000095
8:15:53 PM	49.26837942	-123.1776788	-0.400000006	360.1400146	111	31	3.743000031
8:15:54 PM	49.26838637	-123.1776755	-0.400000006	360.1400146	110	0	0
8:16:05 PM	49.26840071	-123.1776728	-0.400000006	360.1400146	101	26	1.578999996
8:16:06 PM	49.26840758	-123.1776751	-0.400000006	362.6099854	101	31	2.467000008
8:16:07 PM	49.26842418	-123.1776953	-0.400000006	365.5799866	100	49	2.977999926
8:16:09 PM	49.26848243	-123.1778006	-0.400000006	374.3800049	100	74	4.811999798
8:16:12 PM	49.26848587	-123.1780618	-0.400000006	392.8900146	103	92	6.587999821
8:16:13 PM	49.2684805	-123.1781587	-0.400000006	399.7099915	104	95	6.818999767
8:16:18 PM	49.2684831	-123.1786563	-0.400000006	435.6799927	109	89	7.40899992
8:16:19 PM	49.26849785	-123.1787717	0	443.0400085	109	89	7.357999802
