Time	 Latitude 	 Longitude 	 Alt.(M) 	 Dist.(M) 	HR (Bpm)	Cadence	 Speed (m/s) 
8:23:49 PM	 49.265542 	 (123.177049)		 1.76 	91		 -   
8:23:50 PM	 49.265541 	 (123.177097)		 3.98 	91		 2.22 
8:23:51 PM	 49.265541 	 (123.177151)		 7.64 	92		 3.66 
8:23:52 PM	 49.265538 	 (123.177206)		 11.69 	92		 4.05 
8:23:53 PM	 49.265539 	 (123.177270)		 16.02 	92	56	 4.33 
8:23:54 PM	 49.265539 	 (123.177333)		 20.64 	93	58	 4.62 
8:23:55 PM	 49.265544 	 (123.177399)		 25.32 	94	59	 4.68 
8:23:56 PM	 49.265553 	 (123.177467)		 30.12 	96	62	 4.80 
8:23:57 PM	 49.265558 	 (123.177534)		 34.98 	97	62	 4.86 
8:23:58 PM	 49.265557 	 (123.177596)		 39.71 	97	57	 4.73 
8:23:59 PM	 49.265559 	 (123.177641)		 44.17 	97	53	 4.46 
8:24:00 PM	 49.265566 	 (123.177677)		 48.22 	97	53	 4.05 
8:24:01 PM	 49.265581 	 (123.177714)		 50.81 	97	36	 2.59 
8:24:02 PM	 49.265612 	 (123.177744)		 54.51 	98	44	 3.70 
8:24:03 PM	 49.265648 	 (123.177755)		 59.01 	98	54	 4.50 
8:24:04 PM	 49.265690 	 (123.177752)		 63.54 	98	57	 4.53 
8:24:05 PM	 49.265735 	 (123.177746)		 68.26 	99	61	 4.72 
8:24:06 PM	 49.265780 	 (123.177740)		 73.22 	99	63	 4.96 
8:24:07 PM	 49.265825 	 (123.177738)		 78.17 	99	63	 4.95 
8:24:08 PM	 49.265866 	 (123.177738)		 83.07 	100	64	 4.90 
8:24:09 PM	 49.265903 	 (123.177735)		 87.89 	100	64	 4.82 
8:24:10 PM	 49.265936 	 (123.177734)		 92.24 	100	16	 4.35 
8:24:11 PM	 49.265974 	 (123.177736)		 95.60 	101	0	 3.36 
8:24:12 PM	 49.266011 	 (123.177733)		 99.60 	101	15	 4.00 
8:24:13 PM	 49.266058 	 (123.177729)		 104.33 	102	63	 4.73 
8:24:14 PM	 49.266105 	 (123.177729)		 109.63 	102	69	 5.30 
8:24:15 PM	 49.266157 	 (123.177724)		 115.13 	103	73	 5.50 
8:24:16 PM	 49.266212 	 (123.177719)		 120.98 	103	74	 5.85 
8:24:17 PM	 49.266264 	 (123.177716)		 127.03 	104	76	 6.05 
8:24:18 PM	 49.266320 	 (123.177715)		 133.11 	104	79	 6.08 
8:24:19 PM	 49.266380 	 (123.177712)		 139.34 	105	78	 6.23 
8:24:20 PM	 49.266442 	 (123.177701)		 145.56 	105	79	 6.22 
8:24:21 PM	 49.266500 	 (123.177693)		 151.79 	106	80	 6.23 
8:24:22 PM	 49.266558 	 (123.177690)		 158.05 	106	80	 6.26 
8:24:23 PM	 49.266618 	 (123.177688)		 164.37 	107	80	 6.32 
