Time	 Latitude 	 Longitude 	Alt.(M)	 Dist.(M) 	HR (Bpm)	Cadence	 Speed (m/s) 	 Speed (km/h) 
7:15:24 PM	 49.268594 	 (123.177960)	0	 5.44 	101	94	 -   	 -   
7:15:25 PM	 49.268602 	 (123.178049)	0	 11.18 	102	96	 5.7400 	 20.6640 
7:15:26 PM	 49.268603 	 (123.178142)	0	 17.04 	103	99	 5.8600 	 21.0960 
7:15:27 PM	 49.268604 	 (123.178225)	0	 23.13 	103	101	 6.0900 	 21.9240 
7:15:28 PM	 49.268606 	 (123.178310)	0.400000006	 29.20 	104	92	 6.0700 	 21.8520 
7:15:29 PM	 49.268609 	 (123.178401)	0.400000006	 35.45 	104	94	 6.2500 	 22.5000 
7:15:30 PM	 49.268613 	 (123.178489)	0.400000006	 41.70 	105	96	 6.2500 	 22.5000 
7:15:31 PM	 49.268617 	 (123.178574)	0.400000006	 48.11 	105	97	 6.4100 	 23.0760 
7:15:32 PM	 49.268620 	 (123.178660)	0.400000006	 54.55 	106	98	 6.4400 	 23.1840 
7:15:33 PM	 49.268623 	 (123.178748)	0.400000006	 60.99 	107	96	 6.4400 	 23.1840 
7:15:34 PM	 49.268626 	 (123.178829)	0.400000006	 67.20 	107	96	 6.2100 	 22.3560 
7:15:35 PM	 49.268629 	 (123.178917)	0.400000006	 73.56 	108	97	 6.3600 	 22.8960 
7:15:36 PM	 49.268633 	 (123.179007)	0.400000006	 79.85 	108	87	 6.2900 	 22.6440 
7:15:37 PM	 49.268634 	 (123.179097)	0.400000006	 86.32 	109	88	 6.4700 	 23.2920 
7:15:38 PM	 49.268637 	 (123.179184)	0.400000006	 92.80 	109	89	 6.4800 	 23.3280 
7:15:39 PM	 49.268643 	 (123.179273)	0.400000006	 99.41 	110	89	 6.6100 	 23.7960 
7:15:40 PM	 49.268648 	 (123.179362)	0.400000006	 106.20 	111	90	 6.7900 	 24.4440 
7:15:41 PM	 49.268650 	 (123.179454)	0.400000006	 113.00 	111	91	 6.8000 	 24.4800 
7:15:42 PM	 49.268652 	 (123.179548)	0.400000006	 119.92 	111	92	 6.9200 	 24.9120 
7:15:43 PM	 49.268653 	 (123.179650)	0.400000006	 126.84 	111	93	 6.9200 	 24.9120 
7:15:44 PM	 49.268653 	 (123.179745)	0.400000006	 133.80 	112	93	 6.9600 	 25.0560 
7:15:45 PM	 49.268655 	 (123.179844)	0.400000006	 140.74 	112	95	 6.9400 	 24.9840 
7:15:46 PM	 49.268658 	 (123.179944)	0.400000006	 147.77 	112	95	 7.0300 	 25.3080 
7:15:47 PM	 49.268661 	 (123.180046)	0.400000006	 154.94 	112	99	 7.1700 	 25.8120 
7:15:48 PM	 49.268663 	 (123.180149)	0.400000006	 162.26 	112	97	 7.3200 	 26.3520 
7:15:49 PM	 49.268665 	 (123.180253)	0.400000006	 169.68 	112	95	 7.4200 	 26.7120 
7:15:50 PM	 49.268666 	 (123.180360)	0.400000006	 177.12 	113	90	 7.4400 	 26.7840 
7:15:51 PM	 49.268668 	 (123.180467)	0.400000006	 184.75 	112	91	 7.6300 	 27.4680 
7:15:52 PM	 49.268668 	 (123.180571)	0.400000006	 192.52 	112	91	 7.7700 	 27.9720 
7:15:53 PM	 49.268667 	 (123.180677)	0.400000006	 200.00 	112	92	 7.4800 	 26.9280 
7:15:54 PM	 49.268666 	 (123.180776)	0.400000006	 207.63 	112	92	 7.6300 	 27.4680 
7:15:55 PM	 49.268660 	 (123.180872)	0.400000006	 214.95 	112	23	 7.3200 	 26.3520 
7:15:56 PM	 49.268654 	 (123.180970)	0.400000006	 222.29 	111	0	 7.3400 	 26.4240 
7:15:57 PM	 49.268650 	 (123.181066)	0.400000006	 229.56 	111	0	 7.2700 	 26.1720 
7:15:58 PM	 49.268647 	 (123.181161)	0.400000006	 236.67 	111	0	 7.1100 	 25.5960 
7:15:59 PM	 49.268648 	 (123.181243)	0.400000006	 243.30 	111	0	 6.6300 	 23.8680 
7:16:00 PM	 49.268649 	 (123.181322)	0.400000006	 249.46 	109	0	 6.1600 	 22.1760 
7:16:01 PM	 49.268647 	 (123.181387)	0.400000006	 254.93 	108	0	 5.4700 	 19.6919 
7:16:02 PM	 49.268647 	 (123.181452)	0.400000006	 260.12 	107	0	 5.1900 	 18.6840 
7:16:03 PM	 49.268649 	 (123.181506)	0.400000006	 264.94 	106	0	 4.8200 	 17.3520 
7:16:04 PM	 49.268650 	 (123.181552)	0.400000006	 269.33 	106	0	 4.3900 	 15.8039 
7:16:05 PM	 49.268650 	 (123.181590)	0.400000006	 273.16 	105	0	 3.8300 	 13.7881 
7:16:06 PM	 49.268649 	 (123.181611)	0.400000006	 276.60 	104	0	 3.4400 	 12.3840 
7:16:07 PM	 49.268647 	 (123.181616)	0.400000006	 279.45 	102	0	 2.8500 	 10.2600 
7:16:08 PM	 49.268643 	 (123.181612)	0.400000006	 282.31 	102	0	 2.8600 	 10.2959 
7:16:09 PM	 49.268640 	 (123.181609)	0.400000006	 282.31 	101		 -   	 -   
7:16:22 PM	 49.268640 	 (123.181636)	0.400000006	 282.31 	95		 -   	 -   
7:16:23 PM	 49.268645 	 (123.181686)	0.400000006	 282.57 	96		 0.2600 	 0.9360 
7:16:24 PM	 49.268649 	 (123.181757)	0.400000006	 282.57 	98		 -   	 -   
7:16:25 PM	 49.268653 	 (123.181841)	0.400000006	 287.52 	98	74	 4.9500 	 17.8199 
7:16:26 PM	 49.268652 	 (123.181945)	0.400000006	 293.39 	99	81	 5.8700 	 21.1321 
7:16:27 PM	 49.268652 	 (123.182048)	0	 299.74 	100	86	 6.3500 	 22.8599 
7:16:28 PM	 49.268655 	 (123.182145)	-0.600000024	 306.31 	103	93	 6.5700 	 23.6520 
7:16:29 PM	 49.268662 	 (123.182250)	-1	 313.13 	105	95	 6.8200 	 24.5520 
7:16:30 PM	 49.268668 	 (123.182356)	-1.600000024	 320.27 	108	86	 7.1400 	 25.7039 
7:16:31 PM	 49.268674 	 (123.182462)	-2.200000048	 327.60 	109	88	 7.3300 	 26.3881 
7:16:32 PM	 49.268682 	 (123.182566)	-2.200000048	 335.04 	111	91	 7.4400 	 26.7840 
7:16:33 PM	 49.268684 	 (123.182680)	-2.200000048	 342.97 	112	94	 7.9300 	 28.5480 
7:16:34 PM	 49.268689 	 (123.182795)	-2.200000048	 350.99 	113	96	 8.0200 	 28.8720 
7:16:35 PM	 49.268692 	 (123.182907)	-2.200000048	 359.22 	114	97	 8.2300 	 29.6280 
7:16:36 PM	 49.268692 	 (123.183021)	-2.200000048	 367.62 	114	100	 8.4000 	 30.2400 
7:16:37 PM	 49.268691 	 (123.183135)	-2.200000048	 376.06 	114	96	 8.4400 	 30.3840 
7:16:38 PM	 49.268692 	 (123.183255)	-2.200000048	 385.48 	115	73	 9.4200 	 33.9120 
7:16:39 PM	 49.268696 	 (123.183384)	-2.200000048	 394.56 	116	84	 9.0800 	 32.6880 
7:16:40 PM	 49.268697 	 (123.183504)	-2.200000048	 403.63 	116	90	 9.0700 	 32.6520 
7:16:41 PM	 49.268697 	 (123.183632)	-2.200000048	 412.82 	116	90	 9.1900 	 33.0840 
7:16:42 PM	 49.268697 	 (123.183759)	-2.200000048	 422.13 	116	88	 9.3100 	 33.5160 
7:16:43 PM	 49.268700 	 (123.183887)	-2.200000048	 431.56 	117	88	 9.4300 	 33.9480 
7:16:44 PM	 49.268703 	 (123.184023)	-2.599999905	 441.38 	117	91	 9.8200 	 35.3520 
7:16:45 PM	 49.268706 	 (123.184159)	-3	 451.21 	117	91	 9.8300 	 35.3880 
7:16:46 PM	 49.268709 	 (123.184303)	-3.400000095	 461.18 	117	94	 9.9700 	 35.8920 
7:16:47 PM	 49.268713 	 (123.184440)	-3.799999952	 471.29 	117	95	 10.1100 	 36.3961 
7:16:48 PM	 49.268717 	 (123.184586)	-3.799999952	 481.49 	117	97	 10.2000 	 36.7199 
7:16:49 PM	 49.268722 	 (123.184730)	-4.400000095	 491.75 	117	94	 10.2600 	 36.9360 
7:16:50 PM	 49.268726 	 (123.184865)	-4.800000191	 502.05 	117	99	 10.3000 	 37.0800 
